Team,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
ARI,0.4,-4.3,-15.1,3.7,1.1,-3.3,-12.9,-4.9,3.6,8.3
ATL,-1,-3.5,-2.3,-5.5,0.7,1.2,2.7,4.5,7.8,-2.1
BAL,8.1,9.9,2.9,-1.3,7.1,9.6,2.6,1.9,-0.4,-2.6
BUF,6.1,8.9,9.1,8.6,5.6,-1,-4.2,-4.4,-0.8,1.7
CAR,-9,-8.9,0.6,-4.5,-2.2,-7,-1.6,3.6,0.8,7.9
CHI,-2.2,-1.6,-16.9,-4,-1.1,-0.6,4.9,-5,-5.8,-2.6
CIN,0.8,-0.1,11.1,1.6,-5,-8,-5.1,-3.7,1.6,4.1
CLE,-2.5,-0.9,-2.5,-1.1,-0.1,-2.2,-4,-8.7,-9.7,-6.7
DAL,-5.7,8.4,8.4,5.4,-5.8,6.1,2.8,2.9,4.3,-4.2
DEN,-0.4,-4.6,-5.2,-0.5,-3.6,-3.5,-0.6,-4.3,4,5.9
DET,8.1,3.6,2,-6,-6.8,-5.6,-3,1,-3.3,-2
GB,6.2,2.3,6.3,5.3,7.4,3.4,2.2,-2.8,4.4,3.6
HOU,0.3,-0.8,-5.5,-8.6,-2.5,2.4,2.9,-5.7,-1.2,-0.2
IND,-3.3,-2.1,-15.1,2.2,1.6,0.3,4.2,-10.3,0.7,-1.4
JAX,-5.4,1.9,6.1,-8.5,-11.5,-5.7,-2.1,4,-3.1,-4.6
KC,3.4,7.6,13.6,6.2,9.4,12.2,8.5,3.1,3.5,6.8
LAC,1,-3.8,3.2,1.8,-3.6,0.5,6.8,6.1,0.5,-2.6
LAR,1.3,3.5,-6.5,6,4.7,3.5,7.4,3.9,-10.2,-3.8
LV,-2.4,-2.6,-9.6,-2.4,-1.3,-3.7,-7.6,-1.2,-0.1,-2.2
MIA,0.5,5.6,5.2,-1.3,-1.8,-9.8,-8.3,-5,-2.9,-2.6
MIN,2.4,-2.8,1.7,1,0.2,6.2,2.7,6,1.7,2.8
NE,-5.6,-6.6,2,5,-0.4,7.5,6.9,8.7,10,7.2
NO,-7.4,2.1,1.6,1.3,7.9,7.8,7.9,6.7,1.9,-3.9
NYG,-8.3,-8.6,2.1,-7.9,-3.8,-8.7,-1.3,-2.6,-0.3,-2.1
NYJ,-0.9,-6.3,-3.2,-8.8,-8.2,-6.5,-8.5,-7.3,-6.4,3.6
PHI,6.4,2,12.7,0.2,-6.2,1.6,2.6,8.1,0,-1.6
PIT,0.4,-2,2.2,-1.5,3.5,-3.8,5.5,5.5,3.8,7.1
SEA,-0.6,0.9,-1.1,2.4,4.6,2.9,4.2,4.1,4.1,8.8
SF,2.2,10,6.5,4.4,1.2,7.5,-5.8,-3,-6.2,-8.3
TB,2.9,0,-8.7,8.2,8.7,1.9,-1.3,0.1,-0.7,-3.2
TEN,-2.7,-0.3,-1,1.6,1.7,4.7,-2.8,-2.2,-2.6,-8.2
WSH,1.5,-6.7,-4.7,-2.9,-1.6,-9.9,-5.8,1,1,-2.8